,avg_duration,avg_waiting,error_rate,request_count,avg_maxHeap,avg_freeHeapMomory,avg_usedHeapMemory
100,1001.9497437050356,1001.9210632493996,0,1668,7000.0,6958.263157894737,40.73684210526316
200,1001.5237632634697,1001.4962414371214,0,3340,7000.0,6951.789473684211,47.21052631578947
300,1001.3230081339709,1001.2897485845294,0,5016,7000.0,6950.8421052631575,48.1578947368421
400,1001.4864030334792,1001.4508519725088,0,6692,7000.0,6945.368421052632,53.63157894736842
500,1326.9020267461237,1326.869957455656,0,7216,7000.0,6942.0526315789475,56.94736842105263
600,1671.4501518748384,1671.4192318193857,0,7574,7000.0,6935.789473684211,63.21052631578947
700,2024.3416178043774,2024.308661653079,0,7852,7000.0,6933.631578947368,65.36842105263158
800,2386.77647201234,2386.7513762839444,0,8100,7000.0,6932.8421052631575,66.15789473684211
900,2739.379617652028,2739.354406780892,0,8288,7000.0,6923.421052631579,75.57894736842105
1000,3099.1614367697175,3099.1302192312214,0,8507,7000.0,6923.315789473684,75.6842105263158
